0	1	a	Exactly the kind of slam-bang adventure that's certain to please audiences of all ages.
1	2	a	Needless to say, this freewheeling parade of bizarreness is not everyone's cup of shrim. Chances are good that the people whose cup of shrim it is already know who they are.
2	3	a	Almodovar adopts a playfully wicked attitude, similar to the one director James Whale used on Bride of Frankenstein... Almodovar is clearly relishing peeling back layer after layer of this peculiar onion.
3	3	a	I have nothing against the film for what it is. I'm just not wild about what it is.
4	4	a	Both the film and the book retain the echoing emptiness of a self-published work, a feeling that this is a one-dimensional vanity project produced without the benefit of an editor or censor or any corrective balance.
5	1	a	The characters are so good that you'll forget about the con game.
6	0	a	Berg makes a compelling case that this is THE scandal of an American generation.
7	5	a	It is a tedious marathon of smoke and mirrors. In terms of the basic requirements of three-reel drama the film lacks substance, credibility, a decent script and characters you might actually care for.
8	2	a	Most proms don't involve choreographed dances, losers winning prom queen or cameos by famous bands. Bart Got A Room is a much needed believable look at the big night.
9	2	a	High energy levels and some genuinely hilarious set pieces make this kids' alien-invasion romp a lot more fun than expected. It's not, erm, rocket science, but it's a thoroughly entertaining ride from start to finish.
10	0	a	It stars the somewhat homely Toni Collette as Muriel, whose whole purpose in life is to get married. How she does that and what happens after that are a couple of the many delightful surprises in this film.
11	1	a	Lee captures the despair, self-delusion, occasional terror and frequent humor of a praised and popular novel, aided by the potent acting his direction virtually guarantees.
12	6	a	Thematically, this WWII drama is a typical John Wayne fare--the Duke imparts lessons of manhood and honor--but technically, it's an atypical Preminger movie, slow-paced and shapeless. 
13	8	a	Silver Linings Playbook may well be my favourite movie of the year. Go see it. Like, right now.
14	6	a	The narrative is infused with chilling facts, and the filmmakers know how to build their case, but a drama demands more.
15	3	a	Eastwood's hands-off directing normally leaves much to desire. But with Mystic River's powerful house cast and emotional gut-wretching story, one respects the lack of showiness and triteness.
16	4	a	Is it possible to satirize something that, in and of itself, often crosses the line into self-parody?
17	2	a	Hilarious.
18	2	a	Seems the committee of five who wrote the script couldn't make lightning strike twice even though they cleverly flip the gender so girls can fight for their right to party.
19	1	a	Fantastical tale of the reptile that conquered the Wild West.
20	6	a	The ''funny'' moments are whiffed, the dialogue is ''scene-y,'' and each reaction shot is held a second or ten too long, leaving the actors hanging.
21	3	a	No Country for Old Men is a thoroughly compelling exercise in the cinema of suspense that proves the power of the old-school thriller remains undiminished.
22	1	a	The year's foremost animation showstopper.
23	0	a	Yimou's explosive imagination threatens to burst the seams of the movie screen...sublime, luscious filmmaking.
24	3	a	Land of the Dead is a horror flick, but not a screamy one -- the booming soundtrack pumps up the drama, and the gore induces squirms, but zombies more titillate than anything.
25	5	a	The picture is all over the map. Nothing coheres.
26	5	a	Mark Felt is a kind of hagiography, and it leans toward whitewashing its subject's legacy.
27	0	a	It's a terrific movie with a great, star-making performance by Nick Robinson.
28	4	a	It's hard not to stifle a tear at the emotional climax, and cinematographer Monika Lenczewska does a particularly handsome job evoking the milieu.
29	5	a	By the time The Green Hornet collapses into a mess of hackneyed car chases and flying glass and bullets, it feels less like the promised irreverent take on the superhero genre, and more like the latest iteration of the Rush Hour movies. 
30	4	a	Cranston is excellent: we pick up on the barely perceptible flicker of fear in his eyes as he brazenly weaves his story. And Kruger impresses in a crucial supporting role.
31	9	a	I'm sure that playing the game for an hour is much more fun than this movie. [Full review in Spanish]
32	4	a	American Dreamz has plenty of laughs. You'll leave the theater feeling not outraged but actually rather cheerful.
33	5	a	Ultimately unsatisfying, not as laugh-out-loud funny as it promises to be in the opening.
34	4	a	Surprisingly inventive...
35	0	a	Eastwood tells the story simply, barely moving the camera. The only special effect in this film is genius.
36	3	a	Love, Simon is an earnest coming-of-age story, gentle and generous, with a captivating performance from Nick Robinson as the titular Simon.
37	4	a	Teller is hot stuff now, but he isn't Robert De Niro, not yet.
38	5	a	The fear in the middle section that everything may get very, very, very stupid - which it will, and how - is more terrifying than any of the lame kills.
39	0	a	A movie with the sweet soul of Toy Story and the boisterous spirit of Spy Kids.
40	3	a	This is a respectful and complex work of fiction around the concepts of the biblical character and his life.
41	9	a	This isn't a real horror movie-this is the kind of horror movie that the characters in a real horror movie watch in order to comment on the lameness of the genre before their authentic terrors begin.
42	1	a	Hrebejk furthers his country's reputation for cinematic absurdity as the only sane artistic reaction to political insanity.
43	1	a	The Bond movie every James Bond fan, new or old, will want to see.
44	6	a	Great acting by Keener, Downey, and Foxx but far too long and too many ECUs. More Keener would have helped. She's something special.
45	3	a	The film, despite never venturing into uncharted territory, is funny, warm, and endearing, and features a protagonist who grows on the audience.
46	5	a	A giant black hole in the center of the comedy universe sucking in the best ideas and situations from other entities into an inescapable ride to nothingness.
47	4	a	How much you'll enjoy Billion Dollar Movie probably comes down to your tolerance for extreme gross out humor.
48	4	a	The rich soundtrack is one of the highlights of this solid, unfamiliar story in which most of the actors do all their own singing.
49	10	a	It's sheer, unadulterated pain.
50	3	a	The main strength of this film is not its message, but rather its rich characterizations.
51	2	a	Earns its place as one piece of a pop-culture puzzle, a genuine reflection of a period that still echoes throughout the culture.
52	2	a	As frustrating as it is, Tyler Perry's The Single Moms Club is an insightful, fascinating and often entertaining picture.
53	3	a	Fight Club is not just a movie, but a wake up call to a disenfranchised generation sick of being told by advertising what to drive, wear, buy, smoke, drink and eat in order to be cool.
54	5	a	Feels like an amalgamation of other animated films' styles and storylines, assembled by a marketing department bent on hitting a demographic sweet spot rather than artists following their muse.
55	3	a	Works as guilty pleasure; there are plenty of great laughs which sustain the film despite its faults.
56	9	a	This is nothing but an attempt to cash in on the success of Gettysburg.
57	5	a	Max Payne? Maximum Payne in the butt more like.
58	2	a	This raunchy teen comedy more than earns its R-rating ... but it does so with a lot of heart.
59	3	a	Woo outwits, outgadgets, outstunts and outdirects the original with one hand tied behind his back.
60	4	a	Sometimes it's more jock than jocular. Occasionally, the camera lens lingers on Owen Wilson's crooked schnoz or Reese Witherspoon's prudish grimaces a bit too long. But it's is never too cute, except in omitting the question mark from its title.
61	3	a	Crank: High Voltage promises something outrageous and then over-delivers, permanently deflowering and deforming the mind of anyone lucky enough to be in the audience.
62	5	a	Clumsy and clunky, totally lacking in passion and cohesion, this dull mediocrity is an insult to Philippa Gregory's historical concept of the two rival sisters.
63	3	a	Essentially a red-state Ocean's Eleven - a fizzy, twisty Southern-fried heist flick that's more enjoyable the less you try to dissect it.
64	2	a	The Break-Up is a refreshingly different romantic comedy, one that doesn't so much rely on gimmicks as on digging around for genuine feelings.
65	7	a	If you are looking for a laugh this weekend, you might want to look elsewhere.
66	3	a	Overrated yet nonetheless well done.
67	4	a	Decent sequel. Kinda cartoonish, but lots of good fights. Better than Rocky IV.
68	5	a	Glaudini expects character tics to substitute for plot development.
69	5	a	As a thriller, The Tourist makes a good travelogue.
70	6	a	This is most certainly not as good as it gets.
71	0	a	More action-filled and tense than The Bourne Identity.
72	6	a	There is nothing particularly wonderful about Timeline, but, other than Walker's acting, nothing particularly terrible about it, either.
73	3	a	Death does not become him
74	5	a	a blow-to-the-crotch, boobie-shot kind of comedy
75	1	a	With the help of his cast, Sayles fashions Babys into a passionately interesting social discourse. He slips in touches of irony, and beautiful moments of raw sentiment.
76	7	a	This guy knows how to tell stories for audiences who can hold their own hands, thank you.
77	4	a	Mercifully, the audacious Lee keeps his goofy stylistic technique a bit more in check than in some of his other films, but a little goes a long way and still tends to undermine the storytelling ability of his work.
78	3	a	Quirks of accents aside, Invictus is an uplifting film. Its African-inspired soundtrack is spot on, too. So, go ahead -- it'll make your day.
79	4	a	Book-based romantic drama about a married woman's affair. 
80	6	a	Though it spotlights a great performance, this isn't a great musical biography, largely due to the splintered nature of the storytelling.
81	4	a	...In the end you just really feel sorry for Mark Hamill, I mean really can't he get better parts than in unfunny comedies?
82	0	a	A coming-of-age story exploring one's first experience with true love and sexual uncertainty, including the hypnotic pleasures of both physical and intellectual affection balanced against bittersweet heartbreak
83	2	a	Entertaining and enjoyable.
84	4	a	A strong cast and some interesting relationships make this a worthwhile entry, although the denouement is lamentably laughable.
85	5	a	"Not helping matters is the DTV quality of the filmmaking, with ""The Cloverfield Paradox"" offering a wildly inconsistent tone and poor casting."
86	0	a	"[VIDEO] More than just a brilliant documentary, ""Project Nim"" is a unique cinematic experience. "
87	4	a	[H]ow else are you going to tap into that lucrative market consisting of folks who read the books but are too lazy to read subtitles?
88	5	a	Well and truly geared to a female audience who are likely to savour the fanciful plot and neatly wrapped feel-good denouement.
89	5	a	Yet another tale of disaffected, overprivileged teens.
90	9	a	Even in the dubious genre of movies based on video games, Resident Evil is an abomination.
91	4	a	On what planet does Diane Lane, she of the double-dip-sundae bod, whipped-cream face, and cinnamon hair, go dateless? Only on planet Hollywood, where she is routinely cast as an underappreciated wife or overlooked single.
92	6	a	The good news is that Jolie and Depp accessorize nicely together. He rarely gets to spar with women in his weight class, and his slovenly approach to stardom might be the antidote for Jolie's solemnity.
93	5	a	It's less a movie than a salute to a troubled moment in our history, a movie so steeped in nobility that you half expect it to swoon with reverence for itself.
94	1	a	An edge-of-your-seater that will have folks thinking twice before taking a road trip across America.
95	3	a	For me, this is sublime poetry. Pitt's performance grows in majesty as things progress, while Affleck is absolutely mesmerizing as the fame-hungry Ford.
96	3	a	The odd-couple road movie is well-trod territory, so it's a welcome surprise to see it handled as intelligently, deftly and movingly as it is in Stephen Frears' Philomena.
97	2	a	American Hustle is an ambitious satire, made by an accomplished filmmaker and loaded with terrific acting talent; but despite appreciating it for what it tried to achieve instead, it's hard not to feel slightly conned.
98	4	a	Light, breezy, and actually funny.
99	0	a	Spielberg has not only touched the nerve of the American psyche, he has ripped it out, stomped on it and beat it with a club for a full two hours. This is the doomsday hour
